rank,name,slug,operatorStatus,expectedFileName,dropFolder,checklistPath,targetPublicPath,gateDecision,blockers,nextAction
"1","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","A_DEPOSER_WEBP","mini-humidificateur-usb-bureau-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer mini-humidificateur-usb-bureau-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"2","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","A_DEPOSER_WEBP","mini-pompe-air-usb-voyage-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer mini-pompe-air-usb-voyage-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"3","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","A_DEPOSER_WEBP","cable-usb-c-240w-renforce-best-seller.webp","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","HOLD","expected_webp_missing","Deposer cable-usb-c-240w-renforce-best-seller.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"4","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","A_DEPOSER_WEBP","lampe-velo-usb-rechargeable-affichage-batterie.webp","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","HOLD","expected_webp_missing","Deposer lampe-velo-usb-rechargeable-affichage-batterie.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"5","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","A_DEPOSER_WEBP","support-pc-portable-pliant-aluminium-ajustable.webp","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","HOLD","expected_webp_missing","Deposer support-pc-portable-pliant-aluminium-ajustable.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"6","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","A_DEPOSER_WEBP","attaches-cables-velcro-lot-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/PREUVE_IMAGE_attaches-cables-velcro-lot-partenaire-hold.md","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer attaches-cables-velcro-lot-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"7","Bandeau skincare microfibre","bandeau-skincare-microfibre-partenaire-hold","A_DEPOSER_WEBP","bandeau-skincare-microfibre-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/PREUVE_IMAGE_bandeau-skincare-microfibre-partenaire-hold.md","/uploads/partner-products/bandeau-skincare-microfibre-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer bandeau-skincare-microfibre-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"8","Boite rangement cables bureau","boite-rangement-cables-bureau-partenaire-hold","A_DEPOSER_WEBP","boite-rangement-cables-bureau-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/PREUVE_IMAGE_boite-rangement-cables-bureau-partenaire-hold.md","/uploads/partner-products/boite-rangement-cables-bureau-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer boite-rangement-cables-bureau-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"9","Brosse chaussures nettoyage 3 en 1","brosse-chaussures-nettoyage-3-en-1-partenaire-hold","A_DEPOSER_WEBP","brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/PREUVE_IMAGE_brosse-chaussures-nettoyage-3-en-1-partenaire-hold.md","/uploads/partner-products/brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"10","Brosse nettoyage joints cuisine","brosse-nettoyage-joints-cuisine-partenaire-hold","A_DEPOSER_WEBP","brosse-nettoyage-joints-cuisine-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/PREUVE_IMAGE_brosse-nettoyage-joints-cuisine-partenaire-hold.md","/uploads/partner-products/brosse-nettoyage-joints-cuisine-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer brosse-nettoyage-joints-cuisine-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"11","Diffuseur voiture clip ventilation","diffuseur-voiture-clip-ventilation-partenaire-hold","A_DEPOSER_WEBP","diffuseur-voiture-clip-ventilation-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/PREUVE_IMAGE_diffuseur-voiture-clip-ventilation-partenaire-hold.md","/uploads/partner-products/diffuseur-voiture-clip-ventilation-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer diffuseur-voiture-clip-ventilation-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
"12","Etagere douche angle adhesive","etagere-douche-angle-adhesive-partenaire-hold","A_DEPOSER_WEBP","etagere-douche-angle-adhesive-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/etagere-douche-angle-adhesive-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/etagere-douche-angle-adhesive-partenaire-hold/PREUVE_IMAGE_etagere-douche-angle-adhesive-partenaire-hold.md","/uploads/partner-products/etagere-douche-angle-adhesive-partenaire-hold.webp","HOLD","expected_webp_missing","Deposer etagere-douche-angle-adhesive-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits."
