rank;top3_rank;product_id;product_name;category_id;proof_zone;field_order;field_key;field_label;expected_format;reject_if;status;admin_href;image_deposit_dir;expected_image_files;manual_value;evidence_note;capture_or_file_path;checked_same_article;mouss_validation;final_decision
1;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;Fournisseur / SKU;1;exactProductUrl;URL produit exacte;URL https de la fiche article exacte;"URL de recherche, marketplace interdite, produit similaire ou variante floue";TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_housse-protection-canape-animal;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/housse-protection-canape-animal-partenaire-hold;housse-protection-canape-animal-partenaire-hold-main.webp | housse-protection-canape-animal-partenaire-hold-detail-1.webp | housse-protection-canape-animal-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
2;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;Fournisseur / SKU;2;partnerName;Nom vendeur ou partenaire;"Nom stable du vendeur, boutique ou partenaire";"Vendeur inconnu, nom generique ou preuve absente";TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_housse-protection-canape-animal;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/housse-protection-canape-animal-partenaire-hold;housse-protection-canape-animal-partenaire-hold-main.webp | housse-protection-canape-animal-partenaire-hold-detail-1.webp | housse-protection-canape-animal-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
3;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;Fournisseur / SKU;3;supplierSku;SKU/reference fournisseur;"SKU, item id ou reference fournisseur stable";Reference absente ou non reutilisable pour une commande manuelle;TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_housse-protection-canape-animal;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/housse-protection-canape-animal-partenaire-hold;housse-protection-canape-animal-partenaire-hold-main.webp | housse-protection-canape-animal-partenaire-hold-detail-1.webp | housse-protection-canape-animal-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
4;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;Fournisseur / SKU;4;exactVariant;Variante exacte vendue;"Couleur, taille, dimensions, lot et accessoires inclus";Variante non identique aux images ou a la description Maxi;TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_housse-protection-canape-animal;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/housse-protection-canape-animal-partenaire-hold;housse-protection-canape-animal-partenaire-hold-main.webp | housse-protection-canape-animal-partenaire-hold-detail-1.webp | housse-protection-canape-animal-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
5;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;Prix / stock / marge;5;supplierPriceCents;Prix fournisseur reel en centimes;"Nombre entier en centimes, hors invention";"Prix absent, prix estime ou marge cible non tenable";TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal&zone=Prix+%2F+stock+%2F+marge#top-verification-integration_articles_20260612_housse-protection-canape-animal;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/housse-protection-canape-animal-partenaire-hold;housse-protection-canape-animal-partenaire-hold-main.webp | housse-protection-canape-animal-partenaire-hold-detail-1.webp | housse-protection-canape-animal-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
6;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Fournisseur / SKU;1;exactProductUrl;URL produit exacte;URL https de la fiche article exacte;"URL de recherche, marketplace interdite, produit similaire ou variante floue";TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/cache-multiprise-boite-rangement-cables-partenaire-hold;cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
7;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Fournisseur / SKU;2;partnerName;Nom vendeur ou partenaire;"Nom stable du vendeur, boutique ou partenaire";"Vendeur inconnu, nom generique ou preuve absente";TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/cache-multiprise-boite-rangement-cables-partenaire-hold;cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
8;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Fournisseur / SKU;3;supplierSku;SKU/reference fournisseur;"SKU, item id ou reference fournisseur stable";Reference absente ou non reutilisable pour une commande manuelle;TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/cache-multiprise-boite-rangement-cables-partenaire-hold;cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
9;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Fournisseur / SKU;4;exactVariant;Variante exacte vendue;"Couleur, taille, dimensions, lot et accessoires inclus";Variante non identique aux images ou a la description Maxi;TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/cache-multiprise-boite-rangement-cables-partenaire-hold;cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
10;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Prix / stock / marge;5;supplierPriceCents;Prix fournisseur reel en centimes;"Nombre entier en centimes, hors invention";"Prix absent, prix estime ou marge cible non tenable";TO_FILL_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Prix+%2F+stock+%2F+marge#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/cache-multiprise-boite-rangement-cables-partenaire-hold;cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp | cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;;;;;;HOLD_TO_FILL
