priority,name,slug,lane,expectedFileName,targetPublicPath,targetLocalPath,proofFolder,dropFolder,checklistPath,markerPath,checklistStatus,checklistEvidenceSectionStatus
"9","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","REMPLACER_IMAGE","mini-humidificateur-usb-bureau-partenaire-hold.webp","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","public\uploads\partner-products\mini-humidificateur-usb-bureau-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel/A_DEPOSER_mini-humidificateur-usb-bureau-partenaire-hold.webp.txt","existing","appended"
"9","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","REMPLACER_IMAGE","mini-pompe-air-usb-voyage-partenaire-hold.webp","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","public\uploads\partner-products\mini-pompe-air-usb-voyage-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel/A_DEPOSER_mini-pompe-air-usb-voyage-partenaire-hold.webp.txt","existing","appended"
"10","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","REMPLACER_IMAGE","cable-usb-c-240w-renforce-best-seller.webp","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","public\uploads\partner-products\cable-usb-c-240w-renforce-best-seller.webp","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel/A_DEPOSER_cable-usb-c-240w-renforce-best-seller.webp.txt","existing","appended"
"10","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","REMPLACER_IMAGE","lampe-velo-usb-rechargeable-affichage-batterie.webp","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","public\uploads\partner-products\lampe-velo-usb-rechargeable-affichage-batterie.webp","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel/A_DEPOSER_lampe-velo-usb-rechargeable-affichage-batterie.webp.txt","existing","appended"
"10","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","REMPLACER_IMAGE","support-pc-portable-pliant-aluminium-ajustable.webp","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","public\uploads\partner-products\support-pc-portable-pliant-aluminium-ajustable.webp","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel/A_DEPOSER_support-pc-portable-pliant-aluminium-ajustable.webp.txt","existing","appended"
"12","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","REMPLACER_IMAGE","attaches-cables-velcro-lot-partenaire-hold.webp","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","public\uploads\partner-products\attaches-cables-velcro-lot-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/PREUVE_IMAGE_attaches-cables-velcro-lot-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel/A_DEPOSER_attaches-cables-velcro-lot-partenaire-hold.webp.txt","existing","appended"
"12","Bandeau skincare microfibre","bandeau-skincare-microfibre-partenaire-hold","REMPLACER_IMAGE","bandeau-skincare-microfibre-partenaire-hold.webp","/uploads/partner-products/bandeau-skincare-microfibre-partenaire-hold.webp","public\uploads\partner-products\bandeau-skincare-microfibre-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/PREUVE_IMAGE_bandeau-skincare-microfibre-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel/A_DEPOSER_bandeau-skincare-microfibre-partenaire-hold.webp.txt","existing","appended"
"12","Boite rangement cables bureau","boite-rangement-cables-bureau-partenaire-hold","REMPLACER_IMAGE","boite-rangement-cables-bureau-partenaire-hold.webp","/uploads/partner-products/boite-rangement-cables-bureau-partenaire-hold.webp","public\uploads\partner-products\boite-rangement-cables-bureau-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/PREUVE_IMAGE_boite-rangement-cables-bureau-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel/A_DEPOSER_boite-rangement-cables-bureau-partenaire-hold.webp.txt","existing","appended"
"12","Brosse chaussures nettoyage 3 en 1","brosse-chaussures-nettoyage-3-en-1-partenaire-hold","REMPLACER_IMAGE","brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","/uploads/partner-products/brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","public\uploads\partner-products\brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/PREUVE_IMAGE_brosse-chaussures-nettoyage-3-en-1-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/depot-manuel/A_DEPOSER_brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp.txt","existing","appended"
"12","Brosse nettoyage joints cuisine","brosse-nettoyage-joints-cuisine-partenaire-hold","REMPLACER_IMAGE","brosse-nettoyage-joints-cuisine-partenaire-hold.webp","/uploads/partner-products/brosse-nettoyage-joints-cuisine-partenaire-hold.webp","public\uploads\partner-products\brosse-nettoyage-joints-cuisine-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/PREUVE_IMAGE_brosse-nettoyage-joints-cuisine-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/depot-manuel/A_DEPOSER_brosse-nettoyage-joints-cuisine-partenaire-hold.webp.txt","existing","appended"
