rank,lane,id,label,status,nextAction,allowedAction,forbiddenActions,blockers,sourceFile
"1","images_publiques_exactes","mini-humidificateur-usb-bureau-partenaire-hold","Mini humidificateur USB bureau","A_DEPOSER_WEBP","Deposer mini-humidificateur-usb-bureau-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits.","deposer WebP exact: mini-humidificateur-usb-bureau-partenaire-hold.webp","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel"
"2","images_publiques_exactes","mini-pompe-air-usb-voyage-partenaire-hold","Mini pompe air USB voyage","A_DEPOSER_WEBP","Deposer mini-pompe-air-usb-voyage-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits.","deposer WebP exact: mini-pompe-air-usb-voyage-partenaire-hold.webp","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel"
"3","images_publiques_exactes","cable-usb-c-240w-renforce-best-seller","Câble USB-C 240W renforcé best-seller","A_DEPOSER_WEBP","Deposer cable-usb-c-240w-renforce-best-seller.webp dans depot-manuel, remplir la checklist, puis relancer les audits.","deposer WebP exact: cable-usb-c-240w-renforce-best-seller.webp","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel"
"4","images_publiques_exactes","lampe-velo-usb-rechargeable-affichage-batterie","Lampe vélo USB rechargeable affichage batterie","A_DEPOSER_WEBP","Deposer lampe-velo-usb-rechargeable-affichage-batterie.webp dans depot-manuel, remplir la checklist, puis relancer les audits.","deposer WebP exact: lampe-velo-usb-rechargeable-affichage-batterie.webp","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel"
"5","images_publiques_exactes","support-pc-portable-pliant-aluminium-ajustable","Support PC portable pliant aluminium ajustable","A_DEPOSER_WEBP","Deposer support-pc-portable-pliant-aluminium-ajustable.webp dans depot-manuel, remplir la checklist, puis relancer les audits.","deposer WebP exact: support-pc-portable-pliant-aluminium-ajustable.webp","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel"
"6","images_publiques_exactes","attaches-cables-velcro-lot-partenaire-hold","Attaches cables velcro lot","A_DEPOSER_WEBP","Deposer attaches-cables-velcro-lot-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits.","deposer WebP exact: attaches-cables-velcro-lot-partenaire-hold.webp","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel"
"7","images_publiques_exactes","bandeau-skincare-microfibre-partenaire-hold","Bandeau skincare microfibre","A_DEPOSER_WEBP","Deposer bandeau-skincare-microfibre-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits.","deposer WebP exact: bandeau-skincare-microfibre-partenaire-hold.webp","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel"
"8","images_publiques_exactes","boite-rangement-cables-bureau-partenaire-hold","Boite rangement cables bureau","A_DEPOSER_WEBP","Deposer boite-rangement-cables-bureau-partenaire-hold.webp dans depot-manuel, remplir la checklist, puis relancer les audits.","deposer WebP exact: boite-rangement-cables-bureau-partenaire-hold.webp","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel"
"9","images_publiques_exactes","mini-humidificateur-usb-bureau-partenaire-hold#mouss-review","Mini humidificateur USB bureau - revue Mouss image","HOLD_A_COMPLETER","Deposer le WebP exact mini-humidificateur-usb-bureau-partenaire-hold.webp, puis relancer les audits image.","remplir champs texte, deposer WebP exact, puis relancer les audits","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","champs texte: Source image exacte, Droits image, Meme article exact confirme, Variante exacte confirmee, Validation Mouss, Decision copie publique | expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md"
"10","images_publiques_exactes","mini-pompe-air-usb-voyage-partenaire-hold#mouss-review","Mini pompe air USB voyage - revue Mouss image","HOLD_A_COMPLETER","Deposer le WebP exact mini-pompe-air-usb-voyage-partenaire-hold.webp, puis relancer les audits image.","remplir champs texte, deposer WebP exact, puis relancer les audits","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","champs texte: Source image exacte, Droits image, Meme article exact confirme, Variante exacte confirmee, Validation Mouss, Decision copie publique | expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md"
