priority,lane,name,status,nextAction,sourceFile
"1","decision_statique","Organisateur de câbles et accessoires tech","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"2","decision_statique","Mini imprimante thermique Bluetooth","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"3","decision_statique","Projecteur galaxie LED pour ambiance","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"4","decision_statique","Mini aspirateur voiture sans fil","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"5","formulaire_rapide","Pochette organisateur câbles double couche voyage","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"6","formulaire_rapide","Support PC portable pliant aluminium ajustable","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"7","formulaire_rapide","Filet rangement coffre voiture à sangles fixes","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"8","formulaire_rapide","Gourde pliable silicone voyage avec mousqueton","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"9","formulaire_rapide","Lampe LED à détection de mouvement USB rechargeable","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"10","recontrole_complet","Support téléphone voiture flexible à ventouse 360°","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"11","recontrole_complet","Corde paracorde camping randonnée 5/15/30 m","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"12","recontrole_complet","Nano tape double-face salle de bain cuisine","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"13","recontrole_complet","Organisateur câbles 1/5 m bureau best-seller","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"14","recontrole_complet","Ruban double-face puissant maison promo","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"15","recontrole_complet","Sac banane sport étanche randonnée","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
