rank,sessionLane,status,name,slug,expectedFileName,dropFolder,checklistPath,targetPublicPath,nextAction
"1","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","mini-humidificateur-usb-bureau-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","Deposer manuellement mini-humidificateur-usb-bureau-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
"2","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","mini-pompe-air-usb-voyage-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","Deposer manuellement mini-pompe-air-usb-voyage-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
"3","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","cable-usb-c-240w-renforce-best-seller.webp","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","Deposer manuellement cable-usb-c-240w-renforce-best-seller.webp dans le dossier depot-manuel, puis relancer les audits."
"4","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","lampe-velo-usb-rechargeable-affichage-batterie.webp","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","Deposer manuellement lampe-velo-usb-rechargeable-affichage-batterie.webp dans le dossier depot-manuel, puis relancer les audits."
"5","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","support-pc-portable-pliant-aluminium-ajustable.webp","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","Deposer manuellement support-pc-portable-pliant-aluminium-ajustable.webp dans le dossier depot-manuel, puis relancer les audits."
"6","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","attaches-cables-velcro-lot-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/PREUVE_IMAGE_attaches-cables-velcro-lot-partenaire-hold.md","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","Deposer manuellement attaches-cables-velcro-lot-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
"7","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Bandeau skincare microfibre","bandeau-skincare-microfibre-partenaire-hold","bandeau-skincare-microfibre-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/PREUVE_IMAGE_bandeau-skincare-microfibre-partenaire-hold.md","/uploads/partner-products/bandeau-skincare-microfibre-partenaire-hold.webp","Deposer manuellement bandeau-skincare-microfibre-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
"8","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Boite rangement cables bureau","boite-rangement-cables-bureau-partenaire-hold","boite-rangement-cables-bureau-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/PREUVE_IMAGE_boite-rangement-cables-bureau-partenaire-hold.md","/uploads/partner-products/boite-rangement-cables-bureau-partenaire-hold.webp","Deposer manuellement boite-rangement-cables-bureau-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
"9","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Brosse chaussures nettoyage 3 en 1","brosse-chaussures-nettoyage-3-en-1-partenaire-hold","brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/PREUVE_IMAGE_brosse-chaussures-nettoyage-3-en-1-partenaire-hold.md","/uploads/partner-products/brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","Deposer manuellement brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
"10","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Brosse nettoyage joints cuisine","brosse-nettoyage-joints-cuisine-partenaire-hold","brosse-nettoyage-joints-cuisine-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/PREUVE_IMAGE_brosse-nettoyage-joints-cuisine-partenaire-hold.md","/uploads/partner-products/brosse-nettoyage-joints-cuisine-partenaire-hold.webp","Deposer manuellement brosse-nettoyage-joints-cuisine-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
"11","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Diffuseur voiture clip ventilation","diffuseur-voiture-clip-ventilation-partenaire-hold","diffuseur-voiture-clip-ventilation-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/PREUVE_IMAGE_diffuseur-voiture-clip-ventilation-partenaire-hold.md","/uploads/partner-products/diffuseur-voiture-clip-ventilation-partenaire-hold.webp","Deposer manuellement diffuseur-voiture-clip-ventilation-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
"12","P2_DEPOSER_WEBP","HOLD_MISSING_WEBP","Etagere douche angle adhesive","etagere-douche-angle-adhesive-partenaire-hold","etagere-douche-angle-adhesive-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/etagere-douche-angle-adhesive-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/etagere-douche-angle-adhesive-partenaire-hold/PREUVE_IMAGE_etagere-douche-angle-adhesive-partenaire-hold.md","/uploads/partner-products/etagere-douche-angle-adhesive-partenaire-hold.webp","Deposer manuellement etagere-douche-angle-adhesive-partenaire-hold.webp dans le dossier depot-manuel, puis relancer les audits."
