rank,lane,id,label,status,nextAction,allowedAction,forbiddenActions,blockers,sourceFile
"1","cockpit_produit","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_MISSING_EVIDENCE","remplir 12 preuves et deposer 4 WebP exacts avant revue Mouss","remplir le template preuves et deposer les WebP exacts dans le dossier de depot","publier | copier dans public/uploads | commander fournisseur | payer","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente | checkedAt:missing_or_placeholder | supplierSellerName:missing_or_placeholder | exactVariantChosen:missing_or_placeholder | deliveryFranceEuropeProof:missing_or_placeholder | deliveryEstimateForCustomer:missing_or_placeholder | trackingAvailable:missing_or_placeholder | trackingAvailable:tracking_answer_not_clear_yes_no | pricingProof:missing_or_placeholder | shippingProof:missing_or_placeholder | imageProof:missing_or_placeholder | imageRightsProof:missing_or_placeholder | finalDecision:final_decision_not_ready_review | reviewedByMouss:missing_human_review_mouss | fichier_local_manquant | catalogue_pointe_encore_vers_domaine_fournisseur | fichiers_webp_locaux_manquants | fichiers_webp_locaux_non_prets | catalogue_pas_encore_aligne_sur_images_locales | image_principale_pas_locale_cible | decision_droits_images_absente | image_not_public_ready","business-maxi-trouvailles\tableaux-action\cockpit-validation-produit-20260611\01-pochette-organisateur-cables-double-couche-voyage"
"2","cockpit_produit","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","HOLD_MISSING_EVIDENCE","remplir 12 preuves et deposer 4 WebP exacts avant revue Mouss","remplir le template preuves et deposer les WebP exacts dans le dossier de depot","publier | copier dans public/uploads | commander fournisseur | payer","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente | checkedAt:missing_or_placeholder | supplierSellerName:missing_or_placeholder | exactVariantChosen:missing_or_placeholder | deliveryFranceEuropeProof:missing_or_placeholder | deliveryEstimateForCustomer:missing_or_placeholder | trackingAvailable:missing_or_placeholder | trackingAvailable:tracking_answer_not_clear_yes_no | pricingProof:missing_or_placeholder | shippingProof:missing_or_placeholder | imageProof:missing_or_placeholder | imageRightsProof:missing_or_placeholder | finalDecision:final_decision_not_ready_review | reviewedByMouss:missing_human_review_mouss | fichier_local_manquant | catalogue_pointe_encore_vers_domaine_fournisseur | fichiers_webp_locaux_manquants | fichiers_webp_locaux_non_prets | catalogue_pas_encore_aligne_sur_images_locales | image_principale_pas_locale_cible | decision_droits_images_absente | image_not_public_ready","business-maxi-trouvailles\tableaux-action\cockpit-validation-produit-20260611\02-support-pc-portable-pliant-aluminium-ajustable"
"3","cockpit_produit","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_MISSING_EVIDENCE","remplir 12 preuves et deposer 6 WebP exacts avant revue Mouss","remplir le template preuves et deposer les WebP exacts dans le dossier de depot","publier | copier dans public/uploads | commander fournisseur | payer","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente | checkedAt:missing_or_placeholder | supplierSellerName:missing_or_placeholder | exactVariantChosen:missing_or_placeholder | deliveryFranceEuropeProof:missing_or_placeholder | deliveryEstimateForCustomer:missing_or_placeholder | trackingAvailable:missing_or_placeholder | trackingAvailable:tracking_answer_not_clear_yes_no | pricingProof:missing_or_placeholder | shippingProof:missing_or_placeholder | imageProof:missing_or_placeholder | imageRightsProof:missing_or_placeholder | finalDecision:final_decision_not_ready_review | reviewedByMouss:missing_human_review_mouss | fichier_local_manquant | catalogue_pointe_encore_vers_domaine_fournisseur | fichiers_webp_locaux_manquants | fichiers_webp_locaux_non_prets | catalogue_pas_encore_aligne_sur_images_locales | image_principale_pas_locale_cible | decision_droits_images_absente | image_not_public_ready","business-maxi-trouvailles\tableaux-action\cockpit-validation-produit-20260611\03-filet-rangement-coffre-voiture-sangles-fixes"
"4","images_categories","dropshipping-high-tech","High-tech","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-high-tech.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260611\categories\01-high-tech-dropshipping-high-tech\dropshipping-high-tech.webp"
"5","produits_partenaires","prod_partner_cable_organizer_001","Organisateur de câbles et accessoires tech","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"6","images_categories","dropshipping-accessoires","Accessoires","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-accessoires.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260611\categories\02-accessoires-dropshipping-accessoires\dropshipping-accessoires.webp"
"7","produits_partenaires","prod_partner_thermal_printer_001","Mini imprimante thermique Bluetooth","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"8","images_categories","dropshipping-auto-moto","Auto / Moto","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-auto-moto.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260611\categories\03-auto-moto-dropshipping-auto-moto\dropshipping-auto-moto.webp"
"9","produits_partenaires","prod_partner_galaxy_projector_001","Projecteur galaxie LED pour ambiance","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"10","images_categories","dropshipping-maison","Maison","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-maison.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260611\categories\04-maison-dropshipping-maison\dropshipping-maison.webp"
