rank,status,name,slug,expectedFileName,webpStatus,checklistStatus,evidenceStatus,fieldsToFill,dropFolder,checklistPath,targetPublicPath,nextAction
"1","HOLD_A_COMPLETER","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","mini-humidificateur-usb-bureau-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","Deposer le WebP exact mini-humidificateur-usb-bureau-partenaire-hold.webp, puis relancer les audits image."
"2","HOLD_A_COMPLETER","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","mini-pompe-air-usb-voyage-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","Deposer le WebP exact mini-pompe-air-usb-voyage-partenaire-hold.webp, puis relancer les audits image."
"3","HOLD_A_COMPLETER","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","cable-usb-c-240w-renforce-best-seller.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","Deposer le WebP exact cable-usb-c-240w-renforce-best-seller.webp, puis relancer les audits image."
"4","HOLD_A_COMPLETER","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","lampe-velo-usb-rechargeable-affichage-batterie.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","Deposer le WebP exact lampe-velo-usb-rechargeable-affichage-batterie.webp, puis relancer les audits image."
"5","HOLD_A_COMPLETER","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","support-pc-portable-pliant-aluminium-ajustable.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","Deposer le WebP exact support-pc-portable-pliant-aluminium-ajustable.webp, puis relancer les audits image."
"6","HOLD_A_COMPLETER","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","attaches-cables-velcro-lot-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/PREUVE_IMAGE_attaches-cables-velcro-lot-partenaire-hold.md","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","Deposer le WebP exact attaches-cables-velcro-lot-partenaire-hold.webp, puis relancer les audits image."
"7","HOLD_A_COMPLETER","Bandeau skincare microfibre","bandeau-skincare-microfibre-partenaire-hold","bandeau-skincare-microfibre-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/PREUVE_IMAGE_bandeau-skincare-microfibre-partenaire-hold.md","/uploads/partner-products/bandeau-skincare-microfibre-partenaire-hold.webp","Deposer le WebP exact bandeau-skincare-microfibre-partenaire-hold.webp, puis relancer les audits image."
"8","HOLD_A_COMPLETER","Boite rangement cables bureau","boite-rangement-cables-bureau-partenaire-hold","boite-rangement-cables-bureau-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/PREUVE_IMAGE_boite-rangement-cables-bureau-partenaire-hold.md","/uploads/partner-products/boite-rangement-cables-bureau-partenaire-hold.webp","Deposer le WebP exact boite-rangement-cables-bureau-partenaire-hold.webp, puis relancer les audits image."
"9","HOLD_A_COMPLETER","Brosse chaussures nettoyage 3 en 1","brosse-chaussures-nettoyage-3-en-1-partenaire-hold","brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/PREUVE_IMAGE_brosse-chaussures-nettoyage-3-en-1-partenaire-hold.md","/uploads/partner-products/brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","Deposer le WebP exact brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp, puis relancer les audits image."
"10","HOLD_A_COMPLETER","Brosse nettoyage joints cuisine","brosse-nettoyage-joints-cuisine-partenaire-hold","brosse-nettoyage-joints-cuisine-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/PREUVE_IMAGE_brosse-nettoyage-joints-cuisine-partenaire-hold.md","/uploads/partner-products/brosse-nettoyage-joints-cuisine-partenaire-hold.webp","Deposer le WebP exact brosse-nettoyage-joints-cuisine-partenaire-hold.webp, puis relancer les audits image."
"11","HOLD_A_COMPLETER","Diffuseur voiture clip ventilation","diffuseur-voiture-clip-ventilation-partenaire-hold","diffuseur-voiture-clip-ventilation-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/PREUVE_IMAGE_diffuseur-voiture-clip-ventilation-partenaire-hold.md","/uploads/partner-products/diffuseur-voiture-clip-ventilation-partenaire-hold.webp","Deposer le WebP exact diffuseur-voiture-clip-ventilation-partenaire-hold.webp, puis relancer les audits image."
