decision,name,slug,sourceFile,targetPublicPath,targetLocalPath,blockers,nextAction
"HOLD","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel/mini-humidificateur-usb-bureau-partenaire-hold.webp","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","public\uploads\partner-products\mini-humidificateur-usb-bureau-partenaire-hold.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel/mini-pompe-air-usb-voyage-partenaire-hold.webp","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","public\uploads\partner-products\mini-pompe-air-usb-voyage-partenaire-hold.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel/cable-usb-c-240w-renforce-best-seller.webp","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","public\uploads\partner-products\cable-usb-c-240w-renforce-best-seller.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel/lampe-velo-usb-rechargeable-affichage-batterie.webp","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","public\uploads\partner-products\lampe-velo-usb-rechargeable-affichage-batterie.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel/support-pc-portable-pliant-aluminium-ajustable.webp","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","public\uploads\partner-products\support-pc-portable-pliant-aluminium-ajustable.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel/attaches-cables-velcro-lot-partenaire-hold.webp","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","public\uploads\partner-products\attaches-cables-velcro-lot-partenaire-hold.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Bandeau skincare microfibre","bandeau-skincare-microfibre-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel/bandeau-skincare-microfibre-partenaire-hold.webp","/uploads/partner-products/bandeau-skincare-microfibre-partenaire-hold.webp","public\uploads\partner-products\bandeau-skincare-microfibre-partenaire-hold.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Boite rangement cables bureau","boite-rangement-cables-bureau-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel/boite-rangement-cables-bureau-partenaire-hold.webp","/uploads/partner-products/boite-rangement-cables-bureau-partenaire-hold.webp","public\uploads\partner-products\boite-rangement-cables-bureau-partenaire-hold.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Brosse chaussures nettoyage 3 en 1","brosse-chaussures-nettoyage-3-en-1-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/depot-manuel/brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","/uploads/partner-products/brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","public\uploads\partner-products\brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Brosse nettoyage joints cuisine","brosse-nettoyage-joints-cuisine-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/depot-manuel/brosse-nettoyage-joints-cuisine-partenaire-hold.webp","/uploads/partner-products/brosse-nettoyage-joints-cuisine-partenaire-hold.webp","public\uploads\partner-products\brosse-nettoyage-joints-cuisine-partenaire-hold.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
"HOLD","Diffuseur voiture clip ventilation","diffuseur-voiture-clip-ventilation-partenaire-hold","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/depot-manuel/diffuseur-voiture-clip-ventilation-partenaire-hold.webp","/uploads/partner-products/diffuseur-voiture-clip-ventilation-partenaire-hold.webp","public\uploads\partner-products\diffuseur-voiture-clip-ventilation-partenaire-hold.webp","expected_webp_missing","Completer depot WebP exact, checklist et revue humaine avant copie."
