lineRank,productName,slug,fieldKey,fieldLabel,valueToFill,expectedFormat,rejectIf,expectedFileName,webpStatus,checklistStatus,evidenceStatus,checklistPath,dropFolder,targetPublicPath,nextAction
"1.1","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","source_image_exacte","Source image exacte","A_REMPLIR_DANS_CHECKLIST","origine interne redigee ou reference fournisseur gardee hors artefact client","image similaire, recherche generique, URL client, marketplace visible","mini-humidificateur-usb-bureau-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","Remplir le champ ""Source image exacte"" dans la checklist, garder HOLD, puis relancer les audits image."
"1.2","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","droits_image","Droits image","A_REMPLIR_DANS_CHECKLIST","permission fournisseur, photo propre Maxi Trouvaille ou licence utilisable","droits inconnus, logo plateforme, watermark, image non autorisee","mini-humidificateur-usb-bureau-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","Remplir le champ ""Droits image"" dans la checklist, garder HOLD, puis relancer les audits image."
"1.3","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","meme_article_exact_confirme","Meme article exact confirme","A_REMPLIR_DANS_CHECKLIST","oui avec comparaison nom, forme, fonction, accessoires et lot vendu","produit proche, kit different, accessoire en plus, marque trompeuse","mini-humidificateur-usb-bureau-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","Remplir le champ ""Meme article exact confirme"" dans la checklist, garder HOLD, puis relancer les audits image."
"1.4","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","variante_exacte_confirmee","Variante exacte confirmee","A_REMPLIR_DANS_CHECKLIST","couleur, taille, capacite, connectique et quantite identiques a la fiche","variante non prouvee, couleur differente, pack affiche mais unite vendue","mini-humidificateur-usb-bureau-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","Remplir le champ ""Variante exacte confirmee"" dans la checklist, garder HOLD, puis relancer les audits image."
"1.5","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","validation_mouss","Validation Mouss","A_REMPLIR_DANS_CHECKLIST","validation humaine explicite avec date ou mention revue faite","auto-validation, champ vide, doute image, avis non humain","mini-humidificateur-usb-bureau-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","Remplir le champ ""Validation Mouss"" dans la checklist, garder HOLD, puis relancer les audits image."
"1.6","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","decision_copie_publique","Decision copie publique","A_REMPLIR_DANS_CHECKLIST","HOLD ou READY_COPY_AFTER_MOUSS seulement apres preuves completes","READY sans WebP exact, droits, meme article, variante et validation Mouss","mini-humidificateur-usb-bureau-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","Remplir le champ ""Decision copie publique"" dans la checklist, garder HOLD, puis relancer les audits image."
"2.1","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","source_image_exacte","Source image exacte","A_REMPLIR_DANS_CHECKLIST","origine interne redigee ou reference fournisseur gardee hors artefact client","image similaire, recherche generique, URL client, marketplace visible","mini-pompe-air-usb-voyage-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","Remplir le champ ""Source image exacte"" dans la checklist, garder HOLD, puis relancer les audits image."
"2.2","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","droits_image","Droits image","A_REMPLIR_DANS_CHECKLIST","permission fournisseur, photo propre Maxi Trouvaille ou licence utilisable","droits inconnus, logo plateforme, watermark, image non autorisee","mini-pompe-air-usb-voyage-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","Remplir le champ ""Droits image"" dans la checklist, garder HOLD, puis relancer les audits image."
"2.3","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","meme_article_exact_confirme","Meme article exact confirme","A_REMPLIR_DANS_CHECKLIST","oui avec comparaison nom, forme, fonction, accessoires et lot vendu","produit proche, kit different, accessoire en plus, marque trompeuse","mini-pompe-air-usb-voyage-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","Remplir le champ ""Meme article exact confirme"" dans la checklist, garder HOLD, puis relancer les audits image."
"2.4","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","variante_exacte_confirmee","Variante exacte confirmee","A_REMPLIR_DANS_CHECKLIST","couleur, taille, capacite, connectique et quantite identiques a la fiche","variante non prouvee, couleur differente, pack affiche mais unite vendue","mini-pompe-air-usb-voyage-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","Remplir le champ ""Variante exacte confirmee"" dans la checklist, garder HOLD, puis relancer les audits image."
"2.5","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","validation_mouss","Validation Mouss","A_REMPLIR_DANS_CHECKLIST","validation humaine explicite avec date ou mention revue faite","auto-validation, champ vide, doute image, avis non humain","mini-pompe-air-usb-voyage-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","Remplir le champ ""Validation Mouss"" dans la checklist, garder HOLD, puis relancer les audits image."
"2.6","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","decision_copie_publique","Decision copie publique","A_REMPLIR_DANS_CHECKLIST","HOLD ou READY_COPY_AFTER_MOUSS seulement apres preuves completes","READY sans WebP exact, droits, meme article, variante et validation Mouss","mini-pompe-air-usb-voyage-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","Remplir le champ ""Decision copie publique"" dans la checklist, garder HOLD, puis relancer les audits image."
